project_a,project_b,winner,winner_name
Chain.Love,Secured Finance,project_a,Chain.Love
Lily: blockchain data extraction for Filecoin,Filecoin Data Portal,project_a,Lily: blockchain data extraction for Filecoin
Curio Storage,Curio Snark Market,project_a,Curio Storage
Curio Dashboard,"Filecoin Onchain Cloud (FOC) - Verifiable Storage, Retrieval, and Payments",project_b,"Filecoin Onchain Cloud (FOC) - Verifiable Storage, Retrieval, and Payments"
Drips,DevTTY Filecoin Mainnet Bootstrap Nodes,project_a,Drips
Filecoin Client Implementation - Venus,OrbitChina,project_a,Filecoin Client Implementation - Venus
Root Key Holder management portal,Blockscout Open Source Filecoin Explorer,project_b,Blockscout Open Source Filecoin Explorer
FIL RetroPGF Data Analysis & Round Modeling,Asia-SPWG,project_b,Asia-SPWG
IPFS及Filecoin价值资讯传递（南山居士Hill）,Filecoin Slack Community Admin,project_a,IPFS及Filecoin价值资讯传递（南山居士Hill）
Silvi: IPFS-Powered Biodiversity Infrastructure,FIL LAGOS,project_a,Silvi: IPFS-Powered Biodiversity Infrastructure
Beryx Filecoin API,FilPunks,project_a,Beryx Filecoin API
ETHAccra,Eastore,project_b,Eastore
万佳社区,Retrieval Tester,project_b,Retrieval Tester
chainfee,Filliquid,project_b,Filliquid
Spacescope: API service for the Filecoin ecosystem,drand - the distributed randomness beacon project powering the League of Entropy and Filecoin Leader Election,project_b,drand - the distributed randomness beacon project powering the League of Entropy and Filecoin Leader Election
MetaEra,Forest,project_b,Forest
Meet with Huddle01,witnesschain,project_b,witnesschain
Filecoin Orbit Uganda,Filecoin Spark,project_b,Filecoin Spark
PLDG Dashboard: Developer Analytics for the Protocol Labs Dev Guild,fil-miner-info.safematrix,project_a,PLDG Dashboard: Developer Analytics for the Protocol Labs Dev Guild
OP Medicine – Filecoin-Powered Healthcare Infrastructure,The Epoch Clock,project_a,OP Medicine – Filecoin-Powered Healthcare Infrastructure
4EVERLAND,WarmWeb,project_a,4EVERLAND
FilOz – Advancing the Filecoin Protocol,Filecoin Ledger App & Installation Hub,project_a,FilOz – Advancing the Filecoin Protocol
Filecoin Community Service -VenusHub,Filmint,project_a,Filecoin Community Service -VenusHub
OneForm – SocialCap,GainForest: The world’s first community-owned data commons for nature impact,project_b,GainForest: The world’s first community-owned data commons for nature impact
ETH-FIL swap,Ancients Research,project_a,ETH-FIL swap
Lynx – Storage Provider Retrieval Analytics Platform,SealGuard,project_a,Lynx – Storage Provider Retrieval Analytics Platform
Filecoin Beam,Filosign,project_a,Filecoin Beam
Boxo and Kubo,Filecoin Orbit Bootcamp Africa,project_a,Boxo and Kubo
Filecoin Nigeria,Old Faithful,project_a,Filecoin Nigeria
Filscan Explorer,Helia,project_b,Helia
Keypo,MUSE,project_a,Keypo
IPFS Public Utilities,CIDgravity Filecoin Gateway,project_a,IPFS Public Utilities
NanoDC Project,MechaFIL-JAX,project_b,MechaFIL-JAX
Storacha-Solana-SDK,Beryx Filecoin Explorer,project_b,Beryx Filecoin Explorer
ND Labs,Fil Implementers WG - Cross-Client Coordination and Governance,project_b,Fil Implementers WG - Cross-Client Coordination and Governance
Forest Archive,go-libp2p,project_b,go-libp2p
Curio Smart Cordon & Restart System,UCAN,project_a,Curio Smart Cordon & Restart System
FIP 100 Research & Development,CalibrationNet Stability Project,project_a,FIP 100 Research & Development
Metrics for the Filecoin P2P network health,Boost,project_b,Boost
Eth Transport – Decentralized Civic Infrastructure on Filecoin,FilPonto: Public goods chain infrastructure & collaborations support for Filecoin,project_a,Eth Transport – Decentralized Civic Infrastructure on Filecoin
filsnap,"Oku.trade - Filecoin’s premier DeFi aggregator for deep liquidity, LP management and cross-chain interoperability - 0% fee swaps & bridges.",project_b,"Oku.trade - Filecoin’s premier DeFi aggregator for deep liquidity, LP management and cross-chain interoperability - 0% fee swaps & bridges."
FilDOS,FIL-B (FIL Builders) DX and Community,project_b,FIL-B (FIL Builders) DX and Community
Filecoin Address Drainer,Guide To Filecoin - Easing the Transition to Filecoin.,project_a,Filecoin Address Drainer
iso-filecoin,Forest Explorer,project_a,iso-filecoin
Cyberport Data Integration,Open Source Observer (OSO),project_b,Open Source Observer (OSO)
BlockseBlock,JZFS - Building Data Hub-and-Spoke Model with Filecoin,project_b,JZFS - Building Data Hub-and-Spoke Model with Filecoin
Web3 Billing & Invoicing System – Building Verifiable Workflows on Filecoin for Digital Public Goods,Filecoin Community Services,project_a,Web3 Billing & Invoicing System – Building Verifiable Workflows on Filecoin for Digital Public Goods
FILCAPETOWN,libp2p Community Architecting and Infra Management,project_b,libp2p Community Architecting and Infra Management
boxo-starter-kit,B<>rder/ess Developers Program,project_b,B<>rder/ess Developers Program
filecoin-checker,Curio APT Repository (Filecoin APT),project_b,Curio APT Repository (Filecoin APT)
Filecoin BigQuery Data Repository,Filecoin Kenya Community,project_a,Filecoin BigQuery Data Repository
Multichain Storage,Crossfi,project_a,Multichain Storage
"Lotus, Builtin Actors, and ref-FVM - Core Filecoin Protocol Implementations",FileScope AI: Blockchain-Powered Dataset Analysis Platform,project_a,"Lotus, Builtin Actors, and ref-FVM - Core Filecoin Protocol Implementations"
FIP Editors - Filecoin Improvement Proposal Governance,py-libp2p: The Python libp2p Stack for Filecoin & IPFS,project_b,py-libp2p: The Python libp2p Stack for Filecoin & IPFS
Lighthouse,IPFS Desktop and Companion,project_a,Lighthouse
Axelar Network,Filet Finance,project_a,Axelar Network
CIDgravity Nextcloud App,Safe on Filecoin,project_b,Safe on Filecoin
Filecoin Deal Tool - Droplet,OpenEdStore Decentralized Educational Storage Platform,project_a,Filecoin Deal Tool - Droplet
ETHNigeria  (BuiDL Africa – Empowering Web3 Adoption),Filecoin FIPs Tracker,project_a,ETHNigeria  (BuiDL Africa – Empowering Web3 Adoption)
Secured Finance,Cuview,project_a,Secured Finance
MYRAD,Filecoin Data Portal,project_b,Filecoin Data Portal
Curio Storage,Chain.Love,project_b,Chain.Love
"Filecoin Onchain Cloud (FOC) - Verifiable Storage, Retrieval, and Payments",Lily: blockchain data extraction for Filecoin,project_a,"Filecoin Onchain Cloud (FOC) - Verifiable Storage, Retrieval, and Payments"
Drips,Curio Snark Market,project_a,Drips
OrbitChina,Curio Dashboard,project_b,Curio Dashboard
DevTTY Filecoin Mainnet Bootstrap Nodes,Root Key Holder management portal,project_a,DevTTY Filecoin Mainnet Bootstrap Nodes
Filecoin Client Implementation - Venus,FIL RetroPGF Data Analysis & Round Modeling,project_a,Filecoin Client Implementation - Venus
Blockscout Open Source Filecoin Explorer,Filecoin Slack Community Admin,project_a,Blockscout Open Source Filecoin Explorer
Asia-SPWG,FIL LAGOS,project_a,Asia-SPWG
FilPunks,IPFS及Filecoin价值资讯传递（南山居士Hill）,project_b,IPFS及Filecoin价值资讯传递（南山居士Hill）
Silvi: IPFS-Powered Biodiversity Infrastructure,ETHAccra,project_a,Silvi: IPFS-Powered Biodiversity Infrastructure
Retrieval Tester,Beryx Filecoin API,project_b,Beryx Filecoin API
Eastore,Filliquid,project_b,Filliquid
drand - the distributed randomness beacon project powering the League of Entropy and Filecoin Leader Election,万佳社区,project_a,drand - the distributed randomness beacon project powering the League of Entropy and Filecoin Leader Election
chainfee,Forest,project_b,Forest
Meet with Huddle01,Spacescope: API service for the Filecoin ecosystem,project_b,Spacescope: API service for the Filecoin ecosystem
witnesschain,MetaEra,project_a,witnesschain
fil-miner-info.safematrix,Filecoin Orbit Uganda,project_b,Filecoin Orbit Uganda
Filecoin Spark,OP Medicine – Filecoin-Powered Healthcare Infrastructure,project_a,Filecoin Spark
WarmWeb,PLDG Dashboard: Developer Analytics for the Protocol Labs Dev Guild,project_b,PLDG Dashboard: Developer Analytics for the Protocol Labs Dev Guild
Filecoin Ledger App & Installation Hub,The Epoch Clock,project_a,Filecoin Ledger App & Installation Hub
Filmint,4EVERLAND,project_b,4EVERLAND
GainForest: The world’s first community-owned data commons for nature impact,FilOz – Advancing the Filecoin Protocol,project_b,FilOz – Advancing the Filecoin Protocol
Filecoin Community Service -VenusHub,ETH-FIL swap,project_a,Filecoin Community Service -VenusHub
OneForm – SocialCap,Lynx – Storage Provider Retrieval Analytics Platform,project_b,Lynx – Storage Provider Retrieval Analytics Platform
Ancients Research,Filecoin Beam,project_b,Filecoin Beam
SealGuard,Boxo and Kubo,project_b,Boxo and Kubo
Filecoin Nigeria,Filosign,project_a,Filecoin Nigeria
Filecoin Orbit Bootcamp Africa,Helia,project_b,Helia
Old Faithful,MUSE,project_a,Old Faithful
Filscan Explorer,IPFS Public Utilities,project_b,IPFS Public Utilities
Keypo,MechaFIL-JAX,project_b,MechaFIL-JAX
Storacha-Solana-SDK,CIDgravity Filecoin Gateway,project_b,CIDgravity Filecoin Gateway
Fil Implementers WG - Cross-Client Coordination and Governance,NanoDC Project,project_a,Fil Implementers WG - Cross-Client Coordination and Governance
Beryx Filecoin Explorer,Forest Archive,project_b,Forest Archive
ND Labs,Curio Smart Cordon & Restart System,project_b,Curio Smart Cordon & Restart System
go-libp2p,FIP 100 Research & Development,project_a,go-libp2p
UCAN,Boost,project_b,Boost
FilPonto: Public goods chain infrastructure & collaborations support for Filecoin,CalibrationNet Stability Project,project_a,FilPonto: Public goods chain infrastructure & collaborations support for Filecoin
Metrics for the Filecoin P2P network health,"Oku.trade - Filecoin’s premier DeFi aggregator for deep liquidity, LP management and cross-chain interoperability - 0% fee swaps & bridges.",project_b,"Oku.trade - Filecoin’s premier DeFi aggregator for deep liquidity, LP management and cross-chain interoperability - 0% fee swaps & bridges."
FIL-B (FIL Builders) DX and Community,Eth Transport – Decentralized Civic Infrastructure on Filecoin,project_a,FIL-B (FIL Builders) DX and Community
Filecoin Address Drainer,filsnap,project_b,filsnap
Forest Explorer,FilDOS,project_a,Forest Explorer
Open Source Observer (OSO),Guide To Filecoin - Easing the Transition to Filecoin.,project_a,Open Source Observer (OSO)
JZFS - Building Data Hub-and-Spoke Model with Filecoin,iso-filecoin,project_b,iso-filecoin
Cyberport Data Integration,Filecoin Community Services,project_b,Filecoin Community Services
BlockseBlock,libp2p Community Architecting and Infra Management,project_b,libp2p Community Architecting and Infra Management
Web3 Billing & Invoicing System – Building Verifiable Workflows on Filecoin for Digital Public Goods,B<>rder/ess Developers Program,project_a,Web3 Billing & Invoicing System – Building Verifiable Workflows on Filecoin for Digital Public Goods
filecoin-checker,FILCAPETOWN,project_a,filecoin-checker
boxo-starter-kit,Filecoin Kenya Community,project_b,Filecoin Kenya Community
Curio APT Repository (Filecoin APT),Multichain Storage,project_b,Multichain Storage
Filecoin BigQuery Data Repository,FileScope AI: Blockchain-Powered Dataset Analysis Platform,project_a,Filecoin BigQuery Data Repository
FIP Editors - Filecoin Improvement Proposal Governance,Crossfi,project_a,FIP Editors - Filecoin Improvement Proposal Governance
Lighthouse,"Lotus, Builtin Actors, and ref-FVM - Core Filecoin Protocol Implementations",project_b,"Lotus, Builtin Actors, and ref-FVM - Core Filecoin Protocol Implementations"
Axelar Network,py-libp2p: The Python libp2p Stack for Filecoin & IPFS,project_a,Axelar Network
CIDgravity Nextcloud App,IPFS Desktop and Companion,project_b,IPFS Desktop and Companion
Filet Finance,Filecoin Deal Tool - Droplet,project_b,Filecoin Deal Tool - Droplet
ETHNigeria  (BuiDL Africa – Empowering Web3 Adoption),Safe on Filecoin,project_b,Safe on Filecoin
OpenEdStore Decentralized Educational Storage Platform,Secured Finance,project_b,Secured Finance
Filecoin FIPs Tracker,Filecoin Data Portal,project_b,Filecoin Data Portal
Curio Storage,Cuview,project_a,Curio Storage
"Filecoin Onchain Cloud (FOC) - Verifiable Storage, Retrieval, and Payments",MYRAD,project_a,"Filecoin Onchain Cloud (FOC) - Verifiable Storage, Retrieval, and Payments"
Chain.Love,Drips,project_a,Chain.Love
OrbitChina,Lily: blockchain data extraction for Filecoin,project_b,Lily: blockchain data extraction for Filecoin
Curio Snark Market,Root Key Holder management portal,project_a,Curio Snark Market
FIL RetroPGF Data Analysis & Round Modeling,Curio Dashboard,project_a,FIL RetroPGF Data Analysis & Round Modeling
Filecoin Slack Community Admin,DevTTY Filecoin Mainnet Bootstrap Nodes,project_b,DevTTY Filecoin Mainnet Bootstrap Nodes
FIL LAGOS,Filecoin Client Implementation - Venus,project_b,Filecoin Client Implementation - Venus
FilPunks,Blockscout Open Source Filecoin Explorer,project_b,Blockscout Open Source Filecoin Explorer
ETHAccra,Asia-SPWG,project_a,ETHAccra
IPFS及Filecoin价值资讯传递（南山居士Hill）,Retrieval Tester,project_b,Retrieval Tester
Filliquid,Silvi: IPFS-Powered Biodiversity Infrastructure,project_a,Filliquid
drand - the distributed randomness beacon project powering the League of Entropy and Filecoin Leader Election,Beryx Filecoin API,project_a,drand - the distributed randomness beacon project powering the League of Entropy and Filecoin Leader Election
Forest,Eastore,project_a,Forest
万佳社区,Meet with Huddle01,project_a,万佳社区
witnesschain,chainfee,project_a,witnesschain
MetaEra,Spacescope: API service for the Filecoin ecosystem,project_b,Spacescope: API service for the Filecoin ecosystem
OP Medicine – Filecoin-Powered Healthcare Infrastructure,Filecoin Orbit Uganda,project_a,OP Medicine – Filecoin-Powered Healthcare Infrastructure
fil-miner-info.safematrix,WarmWeb,project_a,fil-miner-info.safematrix
Filecoin Spark,Filecoin Ledger App & Installation Hub,project_a,Filecoin Spark
Filmint,PLDG Dashboard: Developer Analytics for the Protocol Labs Dev Guild,project_b,PLDG Dashboard: Developer Analytics for the Protocol Labs Dev Guild
The Epoch Clock,GainForest: The world’s first community-owned data commons for nature impact,project_b,GainForest: The world’s first community-owned data commons for nature impact
4EVERLAND,ETH-FIL swap,project_a,4EVERLAND
Lynx – Storage Provider Retrieval Analytics Platform,FilOz – Advancing the Filecoin Protocol,project_b,FilOz – Advancing the Filecoin Protocol
Filecoin Community Service -VenusHub,Filecoin Beam,project_a,Filecoin Community Service -VenusHub
Boxo and Kubo,OneForm – SocialCap,project_a,Boxo and Kubo
Ancients Research,Filecoin Nigeria,project_b,Filecoin Nigeria
SealGuard,Helia,project_b,Helia
Filosign,MUSE,project_b,MUSE
Filecoin Orbit Bootcamp Africa,IPFS Public Utilities,project_b,IPFS Public Utilities
MechaFIL-JAX,Old Faithful,project_a,MechaFIL-JAX
Storacha-Solana-SDK,Filscan Explorer,project_b,Filscan Explorer
Fil Implementers WG - Cross-Client Coordination and Governance,Keypo,project_a,Fil Implementers WG - Cross-Client Coordination and Governance
CIDgravity Filecoin Gateway,Forest Archive,project_a,CIDgravity Filecoin Gateway
Curio Smart Cordon & Restart System,NanoDC Project,project_a,Curio Smart Cordon & Restart System
Beryx Filecoin Explorer,FIP 100 Research & Development,project_b,FIP 100 Research & Development
Boost,ND Labs,project_a,Boost
FilPonto: Public goods chain infrastructure & collaborations support for Filecoin,go-libp2p,project_b,go-libp2p
UCAN,"Oku.trade - Filecoin’s premier DeFi aggregator for deep liquidity, LP management and cross-chain interoperability - 0% fee swaps & bridges.",project_a,UCAN
CalibrationNet Stability Project,FIL-B (FIL Builders) DX and Community,project_b,FIL-B (FIL Builders) DX and Community
Filecoin Address Drainer,Metrics for the Filecoin P2P network health,project_b,Metrics for the Filecoin P2P network health
Forest Explorer,Eth Transport – Decentralized Civic Infrastructure on Filecoin,project_b,Eth Transport – Decentralized Civic Infrastructure on Filecoin
filsnap,Open Source Observer (OSO),project_b,Open Source Observer (OSO)
FilDOS,JZFS - Building Data Hub-and-Spoke Model with Filecoin,project_b,JZFS - Building Data Hub-and-Spoke Model with Filecoin
Guide To Filecoin - Easing the Transition to Filecoin.,Filecoin Community Services,project_b,Filecoin Community Services
libp2p Community Architecting and Infra Management,iso-filecoin,project_a,libp2p Community Architecting and Infra Management
Cyberport Data Integration,B<>rder/ess Developers Program,project_b,B<>rder/ess Developers Program
filecoin-checker,BlockseBlock,project_a,filecoin-checker
Filecoin Kenya Community,Web3 Billing & Invoicing System – Building Verifiable Workflows on Filecoin for Digital Public Goods,project_b,Web3 Billing & Invoicing System – Building Verifiable Workflows on Filecoin for Digital Public Goods
Multichain Storage,FILCAPETOWN,project_a,Multichain Storage
FileScope AI: Blockchain-Powered Dataset Analysis Platform,boxo-starter-kit,project_b,boxo-starter-kit
Curio APT Repository (Filecoin APT),FIP Editors - Filecoin Improvement Proposal Governance,project_a,Curio APT Repository (Filecoin APT)
Lighthouse,Filecoin BigQuery Data Repository,project_a,Lighthouse
Crossfi,Axelar Network,project_b,Axelar Network
"Lotus, Builtin Actors, and ref-FVM - Core Filecoin Protocol Implementations",CIDgravity Nextcloud App,project_a,"Lotus, Builtin Actors, and ref-FVM - Core Filecoin Protocol Implementations"
Filecoin Deal Tool - Droplet,py-libp2p: The Python libp2p Stack for Filecoin & IPFS,project_a,Filecoin Deal Tool - Droplet
IPFS Desktop and Companion,ETHNigeria  (BuiDL Africa – Empowering Web3 Adoption),project_a,IPFS Desktop and Companion
Filet Finance,Secured Finance,project_b,Secured Finance
Safe on Filecoin,Filecoin Data Portal,project_b,Filecoin Data Portal
Curio Storage,OpenEdStore Decentralized Educational Storage Platform,project_a,Curio Storage
Filecoin FIPs Tracker,"Filecoin Onchain Cloud (FOC) - Verifiable Storage, Retrieval, and Payments",project_b,"Filecoin Onchain Cloud (FOC) - Verifiable Storage, Retrieval, and Payments"
Cuview,Drips,project_b,Drips
MYRAD,OrbitChina,project_b,OrbitChina
Chain.Love,Root Key Holder management portal,project_a,Chain.Love
Lily: blockchain data extraction for Filecoin,FIL RetroPGF Data Analysis & Round Modeling,project_a,Lily: blockchain data extraction for Filecoin
Filecoin Slack Community Admin,Curio Snark Market,project_b,Curio Snark Market
Curio Dashboard,FIL LAGOS,project_a,Curio Dashboard
FilPunks,DevTTY Filecoin Mainnet Bootstrap Nodes,project_b,DevTTY Filecoin Mainnet Bootstrap Nodes
ETHAccra,Filecoin Client Implementation - Venus,project_b,Filecoin Client Implementation - Venus
Blockscout Open Source Filecoin Explorer,Retrieval Tester,project_a,Blockscout Open Source Filecoin Explorer
Filliquid,Asia-SPWG,project_a,Filliquid
drand - the distributed randomness beacon project powering the League of Entropy and Filecoin Leader Election,IPFS及Filecoin价值资讯传递（南山居士Hill）,project_a,drand - the distributed randomness beacon project powering the League of Entropy and Filecoin Leader Election
Forest,Silvi: IPFS-Powered Biodiversity Infrastructure,project_a,Forest
Meet with Huddle01,Beryx Filecoin API,project_b,Beryx Filecoin API
witnesschain,Eastore,project_b,Eastore
万佳社区,MetaEra,project_a,万佳社区
chainfee,Spacescope: API service for the Filecoin ecosystem,project_b,Spacescope: API service for the Filecoin ecosystem
WarmWeb,Filecoin Orbit Uganda,project_b,Filecoin Orbit Uganda
OP Medicine – Filecoin-Powered Healthcare Infrastructure,Filecoin Ledger App & Installation Hub,project_b,Filecoin Ledger App & Installation Hub
fil-miner-info.safematrix,Filmint,project_a,fil-miner-info.safematrix
Filecoin Spark,GainForest: The world’s first community-owned data commons for nature impact,project_a,Filecoin Spark
PLDG Dashboard: Developer Analytics for the Protocol Labs Dev Guild,ETH-FIL swap,project_a,PLDG Dashboard: Developer Analytics for the Protocol Labs Dev Guild
The Epoch Clock,Lynx – Storage Provider Retrieval Analytics Platform,project_b,Lynx – Storage Provider Retrieval Analytics Platform
4EVERLAND,Filecoin Beam,project_b,Filecoin Beam
FilOz – Advancing the Filecoin Protocol,Boxo and Kubo,project_a,FilOz – Advancing the Filecoin Protocol
Filecoin Community Service -VenusHub,Filecoin Nigeria,project_a,Filecoin Community Service -VenusHub
OneForm – SocialCap,Helia,project_b,Helia
MUSE,Ancients Research,project_b,Ancients Research
SealGuard,IPFS Public Utilities,project_b,IPFS Public Utilities
Filosign,MechaFIL-JAX,project_b,MechaFIL-JAX
Filecoin Orbit Bootcamp Africa,Storacha-Solana-SDK,project_a,Filecoin Orbit Bootcamp Africa
Old Faithful,Fil Implementers WG - Cross-Client Coordination and Governance,project_b,Fil Implementers WG - Cross-Client Coordination and Governance
Filscan Explorer,Forest Archive,project_a,Filscan Explorer
Keypo,Curio Smart Cordon & Restart System,project_b,Curio Smart Cordon & Restart System
CIDgravity Filecoin Gateway,FIP 100 Research & Development,project_b,FIP 100 Research & Development
NanoDC Project,Boost,project_b,Boost
Beryx Filecoin Explorer,FilPonto: Public goods chain infrastructure & collaborations support for Filecoin,project_a,Beryx Filecoin Explorer
"Oku.trade - Filecoin’s premier DeFi aggregator for deep liquidity, LP management and cross-chain interoperability - 0% fee swaps & bridges.",ND Labs,project_a,"Oku.trade - Filecoin’s premier DeFi aggregator for deep liquidity, LP management and cross-chain interoperability - 0% fee swaps & bridges."
go-libp2p,FIL-B (FIL Builders) DX and Community,project_a,go-libp2p
UCAN,Filecoin Address Drainer,project_a,UCAN
CalibrationNet Stability Project,Forest Explorer,project_a,CalibrationNet Stability Project
Metrics for the Filecoin P2P network health,Open Source Observer (OSO),project_b,Open Source Observer (OSO)
JZFS - Building Data Hub-and-Spoke Model with Filecoin,Eth Transport – Decentralized Civic Infrastructure on Filecoin,project_b,Eth Transport – Decentralized Civic Infrastructure on Filecoin
filsnap,Filecoin Community Services,project_b,Filecoin Community Services
libp2p Community Architecting and Infra Management,FilDOS,project_a,libp2p Community Architecting and Infra Management
B<>rder/ess Developers Program,Guide To Filecoin - Easing the Transition to Filecoin.,project_a,B<>rder/ess Developers Program
iso-filecoin,filecoin-checker,project_a,iso-filecoin
Filecoin Kenya Community,Cyberport Data Integration,project_a,Filecoin Kenya Community
BlockseBlock,Multichain Storage,project_b,Multichain Storage
FileScope AI: Blockchain-Powered Dataset Analysis Platform,Web3 Billing & Invoicing System – Building Verifiable Workflows on Filecoin for Digital Public Goods,project_b,Web3 Billing & Invoicing System – Building Verifiable Workflows on Filecoin for Digital Public Goods
FIP Editors - Filecoin Improvement Proposal Governance,FILCAPETOWN,project_a,FIP Editors - Filecoin Improvement Proposal Governance
boxo-starter-kit,Lighthouse,project_b,Lighthouse
Axelar Network,Curio APT Repository (Filecoin APT),project_a,Axelar Network
CIDgravity Nextcloud App,Filecoin BigQuery Data Repository,project_b,Filecoin BigQuery Data Repository
Crossfi,Filecoin Deal Tool - Droplet,project_b,Filecoin Deal Tool - Droplet
"Lotus, Builtin Actors, and ref-FVM - Core Filecoin Protocol Implementations",ETHNigeria  (BuiDL Africa – Empowering Web3 Adoption),project_a,"Lotus, Builtin Actors, and ref-FVM - Core Filecoin Protocol Implementations"
py-libp2p: The Python libp2p Stack for Filecoin & IPFS,Secured Finance,project_b,Secured Finance
IPFS Desktop and Companion,Filecoin Data Portal,project_b,Filecoin Data Portal
Curio Storage,Filet Finance,project_a,Curio Storage
Safe on Filecoin,"Filecoin Onchain Cloud (FOC) - Verifiable Storage, Retrieval, and Payments",project_b,"Filecoin Onchain Cloud (FOC) - Verifiable Storage, Retrieval, and Payments"
OpenEdStore Decentralized Educational Storage Platform,Drips,project_b,Drips
Filecoin FIPs Tracker,OrbitChina,project_a,Filecoin FIPs Tracker
Cuview,Root Key Holder management portal,project_b,Root Key Holder management portal
MYRAD,FIL RetroPGF Data Analysis & Round Modeling,project_b,FIL RetroPGF Data Analysis & Round Modeling
Chain.Love,Filecoin Slack Community Admin,project_a,Chain.Love
Lily: blockchain data extraction for Filecoin,FIL LAGOS,project_a,Lily: blockchain data extraction for Filecoin
FilPunks,Curio Snark Market,project_b,Curio Snark Market
ETHAccra,Curio Dashboard,project_a,ETHAccra
Retrieval Tester,DevTTY Filecoin Mainnet Bootstrap Nodes,project_a,Retrieval Tester
Filecoin Client Implementation - Venus,Filliquid,project_a,Filecoin Client Implementation - Venus
drand - the distributed randomness beacon project powering the League of Entropy and Filecoin Leader Election,Blockscout Open Source Filecoin Explorer,project_a,drand - the distributed randomness beacon project powering the League of Entropy and Filecoin Leader Election
Asia-SPWG,Forest,project_b,Forest
Meet with Huddle01,IPFS及Filecoin价值资讯传递（南山居士Hill）,project_b,IPFS及Filecoin价值资讯传递（南山居士Hill）
witnesschain,Silvi: IPFS-Powered Biodiversity Infrastructure,project_b,Silvi: IPFS-Powered Biodiversity Infrastructure
MetaEra,Beryx Filecoin API,project_b,Beryx Filecoin API
Spacescope: API service for the Filecoin ecosystem,Eastore,project_a,Spacescope: API service for the Filecoin ecosystem
万佳社区,chainfee,project_b,chainfee
FilOz – Advancing the Filecoin Protocol,Filecoin Orbit Bootcamp Africa,project_a,FilOz – Advancing the Filecoin Protocol
Filecoin Community Service -VenusHub,Open Source Observer (OSO),project_a,Filecoin Community Service -VenusHub
Filecoin Beam,chainfee,project_b,chainfee
Fil Implementers WG - Cross-Client Coordination and Governance,"Oku.trade - Filecoin’s premier DeFi aggregator for deep liquidity, LP management and cross-chain interoperability - 0% fee swaps & bridges.",project_a,Fil Implementers WG - Cross-Client Coordination and Governance
Multichain Storage,JZFS - Building Data Hub-and-Spoke Model with Filecoin,project_a,Multichain Storage
Meet with Huddle01,py-libp2p: The Python libp2p Stack for Filecoin & IPFS,project_b,py-libp2p: The Python libp2p Stack for Filecoin & IPFS
4EVERLAND,UCAN,project_b,UCAN
MechaFIL-JAX,Web3 Billing & Invoicing System – Building Verifiable Workflows on Filecoin for Digital Public Goods,project_a,MechaFIL-JAX
FilDOS,Filet Finance,project_b,Filet Finance
FIL RetroPGF Data Analysis & Round Modeling,OpenEdStore Decentralized Educational Storage Platform,project_a,FIL RetroPGF Data Analysis & Round Modeling
Eth Transport – Decentralized Civic Infrastructure on Filecoin,Storacha-Solana-SDK,project_a,Eth Transport – Decentralized Civic Infrastructure on Filecoin
Asia-SPWG,Keypo,project_a,Asia-SPWG
witnesschain,Old Faithful,project_b,Old Faithful
Curio Smart Cordon & Restart System,Curio Storage,project_b,Curio Storage
Spacescope: API service for the Filecoin ecosystem,Filecoin Client Implementation - Venus,project_b,Filecoin Client Implementation - Venus
Forest,"Filecoin Onchain Cloud (FOC) - Verifiable Storage, Retrieval, and Payments",project_a,Forest
FIL-B (FIL Builders) DX and Community,B<>rder/ess Developers Program,project_a,FIL-B (FIL Builders) DX and Community
Filliquid,Beryx Filecoin Explorer,project_a,Filliquid
Filecoin Nigeria,Forest Explorer,project_b,Forest Explorer
Filecoin FIPs Tracker,Crossfi,project_b,Crossfi
Filecoin Data Portal,Filecoin Slack Community Admin,project_a,Filecoin Data Portal
ETHNigeria  (BuiDL Africa – Empowering Web3 Adoption),Cuview,project_b,Cuview
Filecoin Spark,Eastore,project_a,Filecoin Spark
filecoin-checker,IPFS及Filecoin价值资讯传递（南山居士Hill）,project_b,IPFS及Filecoin价值资讯传递（南山居士Hill）
Filosign,IPFS Desktop and Companion,project_b,IPFS Desktop and Companion
Filecoin Orbit Uganda,Filecoin Address Drainer,project_a,Filecoin Orbit Uganda
libp2p Community Architecting and Infra Management,Filecoin Community Services,project_b,Filecoin Community Services
Drips,FILCAPETOWN,project_a,Drips
boxo-starter-kit,The Epoch Clock,project_b,The Epoch Clock
Filscan Explorer,Secured Finance,project_b,Secured Finance
PLDG Dashboard: Developer Analytics for the Protocol Labs Dev Guild,FIL LAGOS,project_a,PLDG Dashboard: Developer Analytics for the Protocol Labs Dev Guild
Chain.Love,OP Medicine – Filecoin-Powered Healthcare Infrastructure,project_a,Chain.Love
Filecoin Deal Tool - Droplet,OneForm – SocialCap,project_a,Filecoin Deal Tool - Droplet
"Lotus, Builtin Actors, and ref-FVM - Core Filecoin Protocol Implementations",ND Labs,project_a,"Lotus, Builtin Actors, and ref-FVM - Core Filecoin Protocol Implementations"
CIDgravity Filecoin Gateway,MUSE,project_a,CIDgravity Filecoin Gateway
OrbitChina,万佳社区,project_b,万佳社区
fil-miner-info.safematrix,filsnap,project_b,filsnap
Curio Dashboard,NanoDC Project,project_b,NanoDC Project
Filmint,Lighthouse,project_b,Lighthouse
